MODELNUMBER;année;article number;active/inactive;picture;Struktur DE;Kategorie DE;Modellname (DE);Text (DE);structure EN;Category EN;model name (EN);text (EN);structure EN-US;Category EN-US;model name (EN-US);text (EN-US);structure ES;Category ES;model name (ES);text (ES);structure FR;Category FR;model name (FR);text (FR);structure IT;Category IT;model name (IT);text (IT);attribut
$M-125LC2801998;1998;112682;Active;pho_bike_90_re_1998_125_lc2__sall__acmsg__v1.jpg; > Motorcycle > 125 LC2 80 1998 > 125 LC2 80 1998;125 LC2 80 1998;125 LC2 80 1998;125 LC2 80 1998; > Motorcycle > 125 LC2 80 1998 > 125 LC2 80 1998;125 LC2 80 1998;125 LC2 80 1998;125 LC2 80 1998; > Motorcycle > 125 LC2 80 1998 > 125 LC2 80 1998;125 LC2 80 1998;125 LC2 80 1998;125 LC2 80 1998; > Motorcycle > 125 LC2 80 1998 > 125 LC2 80 1998;125 LC2 80 1998;125 LC2 80 1998;125 LC2 80 1998; > Motorcycle > 125 LC2 80 1998 > 125 LC2 80 1998;125 LC2 80 1998;125 LC2 80 1998;"125 LC2 80 1998<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-125STING801998;1998;112685;Active;pho_bike_90_re_1998_125_sting_silber_re__sall__acmsg__v1.jpg; > Motorcycle > 125 STING/80 1998 > 125 STING/80 1998;125 STING/80 1998;125 STING/80 1998;125 STING/80 1998; > Motorcycle > 125 STING/80 1998 > 125 STING/80 1998;125 STING/80 1998;125 STING/80 1998;125 STING/80 1998; > Motorcycle > 125 STING/80 1998 > 125 STING/80 1998;125 STING/80 1998;125 STING/80 1998;125 STING/80 1998; > Motorcycle > 125 STING/80 1998 > 125 STING/80 1998;125 STING/80 1998;125 STING/80 1998;125 STING/80 1998; > Motorcycle > 125 STING/80 1998 > 125 STING/80 1998;125 STING/80 1998;125 STING/80 1998;"125 STING/80 1998<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-125STING1001998;1998;112686;Active;pho_bike_90_re_1998_125_sting_silber_re__sall__acmsg__v1.jpg; > Motorcycle > 125 STING/100 1998 > 125 STING/100 1998;125 STING/100 1998;125 STING/100 1998;125 STING/100 1998; > Motorcycle > 125 STING/100 1998 > 125 STING/100 1998;125 STING/100 1998;125 STING/100 1998;125 STING/100 1998; > Motorcycle > 125 STING/100 1998 > 125 STING/100 1998;125 STING/100 1998;125 STING/100 1998;125 STING/100 1998; > Motorcycle > 125 STING/100 1998 > 125 STING/100 1998;125 STING/100 1998;125 STING/100 1998;125 STING/100 1998; > Motorcycle > 125 STING/100 1998 > 125 STING/100 1998;125 STING/100 1998;125 STING/100 1998;"125 STING/100 1998<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-125LC21996;1996;116061;Active;pho_bike_90_re_1996_125_lc2_re__sall__acmsg__v1.jpg; > Motorcycle > 125 LC2 1996 > 125 LC2 1996;125 LC2 1996;125 LC2 1996;125 LC2 1996; > Motorcycle > 125 LC2 1996 > 125 LC2 1996;125 LC2 1996;125 LC2 1996;125 LC2 1996; > Motorcycle > 125 LC2 1996 > 125 LC2 1996;125 LC2 1996;125 LC2 1996;125 LC2 1996; > Motorcycle > 125 LC2 1996 > 125 LC2 1996;125 LC2 1996;125 LC2 1996;125 LC2 1996; > Motorcycle > 125 LC2 1996 > 125 LC2 1996;125 LC2 1996;125 LC2 1996;"125 LC2 1996<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-125LC211KWMIL1997;1997;119971;Active;pho_bike_90_re_1997_125_lc2_re_wei____sall__acmsg__v1.jpg; > Motorcycle > 125 LC2 11KW MIL 1997 > 125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997; > Motorcycle > 125 LC2 11KW MIL 1997 > 125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997; > Motorcycle > 125 LC2 11KW MIL 1997 > 125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997; > Motorcycle > 125 LC2 11KW MIL 1997 > 125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997; > Motorcycle > 125 LC2 11KW MIL 1997 > 125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;125 LC2 11KW MIL 1997;"125 LC2 11KW MIL 1997<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50SXJUNIOR2000;2000;600101;Active;pho_bike_90_re_2000_50_sx_junior_re__sall__acmsg__v1.jpg; > Motorcycle > 50 SX Junior 2000 > 50 SX Junior 2000;50 SX Junior 2000;50 SX JUNIOR 2000;50 SX Junior 2000; > Motorcycle > 50 SX Junior 2000 > 50 SX Junior 2000;50 SX Junior 2000;50 SX JUNIOR 2000;50 SX Junior 2000; > Motorcycle > 50 SX Junior 2000 > 50 SX Junior 2000;50 SX Junior 2000;50 SX JUNIOR 2000;50 SX Junior 2000; > Motorcycle > 50 SX Junior 2000 > 50 SX Junior 2000;50 SX Junior 2000;50 SX JUNIOR 2000;50 SX Junior 2000; > Motorcycle > 50 SX Junior 2000 > 50 SX Junior 2000;50 SX Junior 2000;50 SX JUNIOR 2000;"50 SX Junior 2000<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-65SX2000;2000;600106;Active;pho_bike_90_re_2000_65_sx_re__sall__acmsg__v1.jpg; > Motorcycle > 65 SX 2000 > 65 SX 2000;65 SX 2000;65 SX 2000;65 SX 2000; > Motorcycle > 65 SX 2000 > 65 SX 2000;65 SX 2000;65 SX 2000;65 SX 2000; > Motorcycle > 65 SX 2000 > 65 SX 2000;65 SX 2000;65 SX 2000;65 SX 2000; > Motorcycle > 65 SX 2000 > 65 SX 2000;65 SX 2000;65 SX 2000;65 SX 2000; > Motorcycle > 65 SX 2000 > 65 SX 2000;65 SX 2000;65 SX 2000;"65 SX 2000<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50MINIADVENTURE2001;2001;600110;Active;pho_bike_90_re_2001_50_mini_adventure__sall__acmsg__v1.jpg; > Motorcycle > 50 Mini Adventure 2001 > 50 Mini Adventure 2001;50 Mini Adventure 2001;50 MINI ADVENTURE 2001;50 Mini Adventure 2001; > Motorcycle > 50 Mini Adventure 2001 > 50 Mini Adventure 2001;50 Mini Adventure 2001;50 MINI ADVENTURE 2001;50 Mini Adventure 2001; > Motorcycle > 50 Mini Adventure 2001 > 50 Mini Adventure 2001;50 Mini Adventure 2001;50 MINI ADVENTURE 2001;50 Mini Adventure 2001; > Motorcycle > 50 Mini Adventure 2001 > 50 Mini Adventure 2001;50 Mini Adventure 2001;50 MINI ADVENTURE 2001;50 Mini Adventure 2001; > Motorcycle > 50 Mini Adventure 2001 > 50 Mini Adventure 2001;50 Mini Adventure 2001;50 MINI ADVENTURE 2001;"50 Mini Adventure 2001<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-65SX2001;2001;600115;Active;pho_bike_90_re_2001_65_sx_li__sall__acmsg__v1.jpg; > Motorcycle > 65 SX 2001 > 65 SX 2001;65 SX 2001;65 SX 2001;65 SX 2001; > Motorcycle > 65 SX 2001 > 65 SX 2001;65 SX 2001;65 SX 2001;65 SX 2001; > Motorcycle > 65 SX 2001 > 65 SX 2001;65 SX 2001;65 SX 2001;65 SX 2001; > Motorcycle > 65 SX 2001 > 65 SX 2001;65 SX 2001;65 SX 2001;65 SX 2001; > Motorcycle > 65 SX 2001 > 65 SX 2001;65 SX 2001;65 SX 2001;"65 SX 2001<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50MINIADVENTURE1997;1997;600170;Active;pho_bike_90_re_1997_50_adventure_re__sall__acmsg__v1.jpg; > Motorcycle > 50 Mini Adventure 1997 > 50 Mini Adventure 1997;50 Mini Adventure 1997;50 MINI ADVENTURE 1997;50 Mini Adventure 1997; > Motorcycle > 50 Mini Adventure 1997 > 50 Mini Adventure 1997;50 Mini Adventure 1997;50 MINI ADVENTURE 1997;50 Mini Adventure 1997; > Motorcycle > 50 Mini Adventure 1997 > 50 Mini Adventure 1997;50 Mini Adventure 1997;50 MINI ADVENTURE 1997;50 Mini Adventure 1997; > Motorcycle > 50 Mini Adventure 1997 > 50 Mini Adventure 1997;50 Mini Adventure 1997;50 MINI ADVENTURE 1997;50 Mini Adventure 1997; > Motorcycle > 50 Mini Adventure 1997 > 50 Mini Adventure 1997;50 Mini Adventure 1997;50 MINI ADVENTURE 1997;"50 Mini Adventure 1997<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50MINIADVENTURE1998;1998;600180;Active;pho_bike_90_re_1998_50_sxr_adventure_li__sall__acmsg__v1.jpg; > Motorcycle > 50 Mini Adventure 1998 > 50 Mini Adventure 1998;50 Mini Adventure 1998;50 MINI ADVENTURE 1998;50 Mini Adventure 1998; > Motorcycle > 50 Mini Adventure 1998 > 50 Mini Adventure 1998;50 Mini Adventure 1998;50 MINI ADVENTURE 1998;50 Mini Adventure 1998; > Motorcycle > 50 Mini Adventure 1998 > 50 Mini Adventure 1998;50 Mini Adventure 1998;50 MINI ADVENTURE 1998;50 Mini Adventure 1998; > Motorcycle > 50 Mini Adventure 1998 > 50 Mini Adventure 1998;50 Mini Adventure 1998;50 MINI ADVENTURE 1998;50 Mini Adventure 1998; > Motorcycle > 50 Mini Adventure 1998 > 50 Mini Adventure 1998;50 Mini Adventure 1998;50 MINI ADVENTURE 1998;"50 Mini Adventure 1998<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50SXRPROJUNIOR;1998;600181;Active;pho_bike_90_re_1998_50_srx_pro_junior_li__sall__acmsg__v1.jpg; > Motorcycle > 50 SXR Pro Junior > 50 SXR Pro Junior;50 SXR Pro Junior;50 SXR PRO JUNIOR;50 SXR Pro Junior; > Motorcycle > 50 SXR Pro Junior > 50 SXR Pro Junior;50 SXR Pro Junior;50 SXR PRO JUNIOR;50 SXR Pro Junior; > Motorcycle > 50 SXR Pro Junior > 50 SXR Pro Junior;50 SXR Pro Junior;50 SXR PRO JUNIOR;50 SXR Pro Junior; > Motorcycle > 50 SXR Pro Junior > 50 SXR Pro Junior;50 SXR Pro Junior;50 SXR PRO JUNIOR;50 SXR Pro Junior; > Motorcycle > 50 SXR Pro Junior > 50 SXR Pro Junior;50 SXR Pro Junior;50 SXR PRO JUNIOR;"50 SXR Pro Junior<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50SXPROSENIOR1998;1998;600182;Active;pho_bike_90_livo_1998_50_sxr_pro_senior_li__sall__acmsg__v1.jpg; > Motorcycle > 50 SX Pro Senior 1998 > 50 SX Pro Senior 1998;50 SX Pro Senior 1998;50 SX PRO SENIOR 1998;50 SX Pro Senior 1998; > Motorcycle > 50 SX Pro Senior 1998 > 50 SX Pro Senior 1998;50 SX Pro Senior 1998;50 SX PRO SENIOR 1998;50 SX Pro Senior 1998; > Motorcycle > 50 SX Pro Senior 1998 > 50 SX Pro Senior 1998;50 SX Pro Senior 1998;50 SX PRO SENIOR 1998;50 SX Pro Senior 1998; > Motorcycle > 50 SX Pro Senior 1998 > 50 SX Pro Senior 1998;50 SX Pro Senior 1998;50 SX PRO SENIOR 1998;50 SX Pro Senior 1998; > Motorcycle > 50 SX Pro Senior 1998 > 50 SX Pro Senior 1998;50 SX Pro Senior 1998;50 SX PRO SENIOR 1998;"50 SX Pro Senior 1998<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-60SX1999;1999;600185;Active;pho_bike_90_livo_1999_60_sx__sall__acmsg__v1.jpg; > Motorcycle > 60 SX 1999 > 60 SX 1999;60 SX 1999;60 SX 1999;60 SX 1999; > Motorcycle > 60 SX 1999 > 60 SX 1999;60 SX 1999;60 SX 1999;60 SX 1999; > Motorcycle > 60 SX 1999 > 60 SX 1999;60 SX 1999;60 SX 1999;60 SX 1999; > Motorcycle > 60 SX 1999 > 60 SX 1999;60 SX 1999;60 SX 1999;60 SX 1999; > Motorcycle > 60 SX 1999 > 60 SX 1999;60 SX 1999;60 SX 1999;"60 SX 1999<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50MINIADVENTURE1999;1999;600190;Active;pho_bike_90_re_1999_50_sxr_adventure__sall__acmsg__v1.jpg; > Motorcycle > 50 Mini Adventure 1999 > 50 Mini Adventure 1999;50 Mini Adventure 1999;50 MINI ADVENTURE 1999;50 Mini Adventure 1999; > Motorcycle > 50 Mini Adventure 1999 > 50 Mini Adventure 1999;50 Mini Adventure 1999;50 MINI ADVENTURE 1999;50 Mini Adventure 1999; > Motorcycle > 50 Mini Adventure 1999 > 50 Mini Adventure 1999;50 Mini Adventure 1999;50 MINI ADVENTURE 1999;50 Mini Adventure 1999; > Motorcycle > 50 Mini Adventure 1999 > 50 Mini Adventure 1999;50 Mini Adventure 1999;50 MINI ADVENTURE 1999;50 Mini Adventure 1999; > Motorcycle > 50 Mini Adventure 1999 > 50 Mini Adventure 1999;50 Mini Adventure 1999;50 MINI ADVENTURE 1999;"50 Mini Adventure 1999<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50MINIADV2005;2005;6001E5;Active;pho_bike_90_re_50_sx_senior_adventure__sall__acmsg__v1.jpg; > Motorcycle > 50 Mini Adventure 2005 > 50 Mini Adventure 2005;50 Mini Adventure 2005;50 MINI ADVENTURE 2005;50 Mini Adventure 2005; > Motorcycle > 50 Mini Adventure 2005 > 50 Mini Adventure 2005;50 Mini Adventure 2005;50 MINI ADVENTURE 2005;50 Mini Adventure 2005; > Motorcycle > 50 Mini Adventure 2005 > 50 Mini Adventure 2005;50 Mini Adventure 2005;50 MINI ADVENTURE 2005;50 Mini Adventure 2005; > Motorcycle > 50 Mini Adventure 2005 > 50 Mini Adventure 2005;50 Mini Adventure 2005;50 MINI ADVENTURE 2005;50 Mini Adventure 2005; > Motorcycle > 50 Mini Adventure 2005 > 50 Mini Adventure 2005;50 Mini Adventure 2005;50 MINI ADVENTURE 2005;"50 Mini Adventure 2005<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-65SX2005;2005;6001E6;Active;pho_bike_90_re_65_sx__sall__acmsg__v1.jpg; > Motorcycle > 65 SX 2005 > 65 SX 2005;65 SX 2005;65 SX 2005;65 SX 2005; > Motorcycle > 65 SX 2005 > 65 SX 2005;65 SX 2005;65 SX 2005;65 SX 2005; > Motorcycle > 65 SX 2005 > 65 SX 2005;65 SX 2005;65 SX 2005;65 SX 2005; > Motorcycle > 65 SX 2005 > 65 SX 2005;65 SX 2005;65 SX 2005;65 SX 2005; > Motorcycle > 65 SX 2005 > 65 SX 2005;65 SX 2005;65 SX 2005;"65 SX 2005<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-85SX2005;2005;6001E8;Active;pho_bike_90_re_85_sx_17_14__sall__acmsg__v1.jpg; > Motorcycle > 85 SX 2005 > 85 SX 2005;85 SX 2005;85 SX 2005;85 SX 2005; > Motorcycle > 85 SX 2005 > 85 SX 2005;85 SX 2005;85 SX 2005;85 SX 2005; > Motorcycle > 85 SX 2005 > 85 SX 2005;85 SX 2005;85 SX 2005;85 SX 2005; > Motorcycle > 85 SX 2005 > 85 SX 2005;85 SX 2005;85 SX 2005;85 SX 2005; > Motorcycle > 85 SX 2005 > 85 SX 2005;85 SX 2005;85 SX 2005;"85 SX 2005<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50SUPERMOTO2006;2006;6001F0;Active;pho_bike_90_re_50_sm_2006__sall__acmsg__v1.jpg; > Motorcycle > 50 Supermoto 2006 > 50 Supermoto 2006;50 Supermoto 2006;50 SUPERMOTO 2006;50 Supermoto 2006; > Motorcycle > 50 Supermoto 2006 > 50 Supermoto 2006;50 Supermoto 2006;50 SUPERMOTO 2006;50 Supermoto 2006; > Motorcycle > 50 Supermoto 2006 > 50 Supermoto 2006;50 Supermoto 2006;50 SUPERMOTO 2006;50 Supermoto 2006; > Motorcycle > 50 Supermoto 2006 > 50 Supermoto 2006;50 Supermoto 2006;50 SUPERMOTO 2006;50 Supermoto 2006; > Motorcycle > 50 Supermoto 2006 > 50 Supermoto 2006;50 Supermoto 2006;50 SUPERMOTO 2006;"50 Supermoto 2006<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-50SENIORADV2006;2006;6001F2;Active;pho_bike_90_re_50_sx_senior_adventure_2006__sall__acmsg__v1.jpg; > Motorcycle > 50 Senior Adventure 2006 > 50 Senior Adventure 2006;50 Senior Adventure 2006;50 SENIOR ADVENTURE 2006;50 Senior Adventure 2006; > Motorcycle > 50 Senior Adventure 2006 > 50 Senior Adventure 2006;50 Senior Adventure 2006;50 SENIOR ADVENTURE 2006;50 Senior Adventure 2006; > Motorcycle > 50 Senior Adventure 2006 > 50 Senior Adventure 2006;50 Senior Adventure 2006;50 SENIOR ADVENTURE 2006;50 Senior Adventure 2006; > Motorcycle > 50 Senior Adventure 2006 > 50 Senior Adventure 2006;50 Senior Adventure 2006;50 SENIOR ADVENTURE 2006;50 Senior Adventure 2006; > Motorcycle > 50 Senior Adventure 2006 > 50 Senior Adventure 2006;50 Senior Adventure 2006;50 SENIOR ADVENTURE 2006;"50 Senior Adventure 2006<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
